"agency","Year","Amount","Expenditure","country"
"UNOPS","2016","20492000","20,492,000","Myanmar"
"UNICEF","2016","20442109.62","20,442,110","Brazil"
"UNDP","2016","20297016","20,297,016","Republic of Moldova"
"WHO","2016","20101952","20,101,952","Kenya"
"WFP","2016","20101365.8","20,101,366","Sierra Leone"
"UNICEF","2016","19954564.29","19,954,564","Argentina"
"IOM","2016","19946531","19,946,531","Sudan"
"UNDP","2016","19765928","19,765,928","Sierra Leone"
"FAO","2016","19481190.31","19,481,190","Ethiopia"
"UNDP","2016","19331115","19,331,115","Niger"
"UNFPA","2016","19140169.64","19,140,170","South Sudan"
"UNICEF","2016","19131194","19,131,194","Senegal"
"UNDP","2016","18970302","18,970,302","Georgia"
"WFP","2016","18939570.92","18,939,571","Guatemala"
"UNDP","2016","18872200","18,872,200","Fiji"
"UNDP","2016","18848609","18,848,609","Papua New Guinea"
"UNHCR","2016","18805536.06","18,805,536","Nigeria"
"UN-HABITAT","2016","18664225.57","18,664,226","Iraq"
"FAO","2016","18614515.3","18,614,515","Pakistan"
"UNICEF","2016","18206636.01","18,206,636","Benin"
"UNDP","2016","18205391","18,205,391","Cuba"
"UNICEF","2016","18029347.61","18,029,348","Mauritania"
"WFP","2016","18016857.82","18,016,858","Guinea"
"UNHCR","2016","17923103.47","17,923,103","Myanmar"
"UNDP","2016","17915030","17,915,030","Kazakhstan"
"WHO","2016","17911838","17,911,838","Chad"
"UNDP","2016","17827481","17,827,481","Uganda"
"WHO","2016","17794173","17,794,173","Bangladesh"
"IOM","2016","17552917","17,552,917","Netherlands"
"UNDP","2016","17488932","17,488,932","Guinea-Bissau"
"UNHCR","2016","17450655.1","17,450,655","Thailand"
"IOM","2016","17390318","17,390,318","Nigeria"
"UNOPS","2016","17362000","17,362,000","Haiti"
"WFP","2016","17343846.68","17,343,847","Liberia"
"UNICEF","2016","17316281","17,316,281","Viet Nam"
"UNDP","2016","17276629","17,276,629","Burkina Faso"
"UNICEF","2016","17250807.49","17,250,807","Eritrea"
"UNOPS","2016","17219000","17,219,000","Iraq"
"UNHCR","2016","17148475.38","17,148,475","Serbia"
"UNHCR","2016","17075639.56","17,075,640","Algeria"
"IOM","2016","17027658","17,027,658","Niger"
"WFP","2016","17017420.23","17,017,420","Mauritania"
"UNWOMEN","2016","16862396.42","16,862,396","Arab States"
"WFP","2016","16745297.85","16,745,298","Ecuador"
"WFP","2016","16729246.35","16,729,246","Algeria"
"IOM","2016","16642198","16,642,198","Uganda"
"IOM","2016","16440960","16,440,960","Haiti"
"UNDP","2016","16306545","16,306,545","Angola"
"UNDP","2016","16294602","16,294,602","Sri Lanka"
"FAO","2016","16160033.53","16,160,034","Thailand"
"UNDP","2016","16142632","16,142,632","Mozambique"
"WHO","2016","16071451","16,071,451","Cameroon"
"UNOPS","2016","15943000","15,943,000","Kenya"
"WFP","2016","15843712","15,843,712","Thailand"
"UNFPA","2016","15823945.47","15,823,945","Uganda"
"UNFPA","2016","15694755.24","15,694,755","Ethiopia"
"IOM","2016","15677501","15,677,501","Micronesia (Federated States of)"
"UNHCR","2016","15674297.4","15,674,297","Burundi"
"IOM","2016","15563492","15,563,492","Congo (the Democratic Republic of the)"
"UNDP","2016","15553030","15,553,030","Lao People's Democratic Republic"
"UNFPA","2016","15535462.77","15,535,463","Yemen"
"UNDP","2016","15481765","15,481,765","Ghana"
"WFP","2016","15339618.22","15,339,618","Lesotho"
"UNDP","2016","15313947","15,313,947","Rwanda"
"FAO","2016","15288357.15","15,288,357","Ghana"
"UNDP","2016","15281475","15,281,475","Cambodia"
"UNOPS","2016","15261000","15,261,000","Jordan"
"UNFPA","2016","15243547.54","15,243,548","Kenya"
"UNDP","2016","15179582","15,179,582","Burundi"
"UNHCR","2016","15140081.95","15,140,082","Côte d'Ivoire"
"UNHCR","2016","15125521.79","15,125,522","Mali"
"UNFPA","2016","14999568.75","14,999,569","Sudan"
"UNDP","2016","14882867","14,882,867","Uruguay"
"FAO","2016","14877355.32","14,877,355","Central African Republic"
"WHO","2016","14821668","14,821,668","Angola"
"WHO","2016","14819011","14,819,011","Turkey"
"UNHCR","2016","14773145.86","14,773,146","Burkina Faso"
"UNICEF","2016","14673701.1","14,673,701","Lao People's Democratic Republic"
"UNDP","2016","14530745","14,530,745","Venezuela (Bolivarian Republic of)"
"UNDP","2016","14495497","14,495,497","Uzbekistan"
"FAO","2016","14427107.61","14,427,108","Bangladesh"
"UNDP","2016","14390805","14,390,805","Côte d'Ivoire"
"UNFPA","2016","14273915.15","14,273,915","Somalia"
"UNDP","2016","14182968","14,182,968","Arab States"
"UNHCR","2016","14159700.49","14,159,700","Colombia"
"UNFPA","2016","14146476.93","14,146,477","Jordan"
"UNDP","2016","14130640","14,130,640","Macedonia (the former Yugoslav Republic of)"
"IOM","2016","14119637","14,119,637","Egypt"
"UNICEF","2016","14044061.34","14,044,061","Egypt"
"WFP","2016","14008558.16","14,008,558","Colombia"
"UNFPA","2016","13967224.06","13,967,224","Zimbabwe"
"UNDP","2016","13949060","13,949,060","Benin"
"IOM","2016","13930324","13,930,324","Myanmar"
"UNFPA","2016","13916651.79","13,916,652","Tanzania, United Republic of"
"UNHCR","2016","13906095.06","13,906,095","Ecuador"
"UNDP","2016","13885166","13,885,166","Libya"
"UNHCR","2016","13808216.83","13,808,217","Senegal"
"UNDP","2016","13804046","13,804,046","Togo"
"UNOPS","2016","13803000","13,803,000","Serbia"
"UNICEF","2016","13770210.47","13,770,210","Guinea-Bissau"
"ILO","2016","13721347","13,721,347","Bangladesh"
"FAO","2016","13609557.87","13,609,558","Syrian Arab Republic"
"UNDP","2016","13595042","13,595,042","Ecuador"
"UNDP","2016","13593775","13,593,775","Morocco"
"WHO","2016","13561537","13,561,537","Uganda"
"UNFPA","2016","13526834.26","13,526,834","Sierra Leone"
"UNHCR","2016","13367326.45","13,367,326","Mauritania"
"UNDP","2016","13335570","13,335,570","Tunisia"
"WFP","2016","13259693.37","13,259,693","Burkina Faso"
"UNDP","2016","13217750","13,217,750","Serbia"
"UNHCR","2016","13183696.47","13,183,696","Liberia"
"WFP","2016","13174532.61","13,174,533","Philippines"
"FAO","2016","13113732.34","13,113,732","Yemen"
"UNOPS","2016","13072000","13,072,000","El Salvador"
"UNU","2016","12886353","12,886,353","Algeria"
"FAO","2016","12780394.25","12,780,394","Egypt"
"UNDP","2016","12717085","12,717,085","Iran (Islamic Republic of)"
"WHO","2016","12704465","12,704,465","Indonesia"
"UNICEF","2016","12688956.65","12,688,957","Ecuador"
"WFP","2016","12668943.81","12,668,944","Côte d'Ivoire"
"UNDP","2016","12649564","12,649,564","Madagascar"
"WHO","2016","12596252","12,596,252","Lao People's Democratic Republic"
"UNDP","2016","12567902","12,567,902","Kuwait"
"WHO","2016","12553009","12,553,009","Central African Republic"
"FAO","2016","12382225.16","12,382,225","Congo (the Democratic Republic of the)"
"UNFPA","2016","12376186.9","12,376,187","Mozambique"
"IOM","2016","12254028","12,254,028","Norway"
"UNDP","2016","12122948","12,122,948","Azerbaijan"
"UNOPS","2016","12049000","12,049,000","Central African Republic"
"FAO","2016","12024416.09","12,024,416","Chile"
"UNDP","2016","11956956","11,956,956","Armenia"
"UNWOMEN","2016","11953697.87","11,953,698","Afghanistan"
"FAO","2016","11916249.4","11,916,249","Chad"
"UNICEF","2016","11907823.92","11,907,824","Sri Lanka"
"WHO","2016","11886116","11,886,116","Tanzania, United Republic of"
"UNDP","2016","11885444","11,885,444","Eritrea"
"WHO","2016","11828327","11,828,327","Niger"
"IOM","2016","11820244","11,820,244","Malaysia"
"FAO","2016","11717979.94","11,717,980","Colombia"
"UNDP","2016","11633182","11,633,182","Kosovo"
"UNDP","2016","11619653","11,619,653","Russian Federation"
"UNFPA","2016","11600931.73","11,600,932","Bangladesh"
"WFP","2016","11597850.18","11,597,850","Lao People's Democratic Republic"
"UNU","2016","11589478","11,589,478","Finland"
"UNFPA","2016","11530325.91","11,530,326","Syrian Arab Republic"
"UNOPS","2016","11510000","11,510,000","Guinea"
"UNICEF","2016","11508685.14","11,508,685","Thailand"
"UNDP","2016","11454195","11,454,195","Bolivia (Plurinational State of)"
"WFP","2016","11377718.07","11,377,718","Libya"
"UNICEF","2016","11348217.01","11,348,217","Togo"
"FAO","2016","11344541.13","11,344,541","Sudan"
"UNDP","2016","11232231","11,232,231","Djibouti"
"UNFPA","2016","11223902.459999999","11,223,902","Arab States"
"UNFPA","2016","11117819.64","11,117,820","Myanmar"
"UNFPA","2016","11032405.37","11,032,405","Turkey"
"UNHCR","2016","10974957.12","10,974,957","Italy"
"IOM","2016","10931071","10,931,071","Bangladesh"
"UNDP","2016","10873579","10,873,579","Albania"
"UNFPA","2016","10833699.31","10,833,699","Niger"
"UNHCR","2016","10804035.78","10,804,036","Djibouti"
"WFP","2016","10763911.43","10,763,911","Cambodia"
"WFP","2016","10597938.03","10,597,938","Djibouti"
"UNDP","2016","10493809","10,493,809","Samoa"
"UNDP","2016","10473844","10,473,844","Timor-Leste"
"WHO","2016","10245598","10,245,598","Nepal"
"FAO","2016","10215897.69","10,215,898","Lithuania"
"WFP","2016","10188746.36","10,188,746","Panama"
"UNICEF","2016","10137961.48","10,137,961","Papua New Guinea"
"WFP","2016","10087370.59","10,087,371","Tajikistan"
"WHO","2016","9997337","9,997,337","Madagascar"
"UNHCR","2016","9996550.62","9,996,551","Zambia"
"IOM","2016","9967326","9,967,326","Libya"
"UNHCR","2016","9963070.77","9,963,071","Poland"
"FAO","2016","9833045.82","9,833,046","Kenya"
"UNDP","2016","9779839","9,779,839","Cyprus"
"ICAO","2016","9760287.843","9,760,288","Somalia"
"UNOPS","2016","9739000","9,739,000","Occupied Palestinian Territory"
"WHO","2016","9738623","9,738,623","Democratic People's Republic of Korea"
"UNHCR","2016","9724860.35","9,724,860","Panama"
"UNHCR","2016","9652211.24","9,652,211","Congo"
"FAO","2016","9645090.42","9,645,090","Mozambique"
"UN-HABITAT","2016","9575751.4","9,575,751","Myanmar"
"UNHCR","2016","9554781.23","9,554,781","Libya"
"WHO","2016","9483447","9,483,447","Ukraine"
"UNOPS","2016","9400000","9,400,000","Nepal"
"UNFPA","2016","9291212.52","9,291,213","Pakistan"
"IOM","2016","9265939","9,265,939","Kosovo"
"FAO","2016","9203461.82","9,203,462","Uganda"
"FAO","2016","9171151.67","9,171,152","Mali"
"WHO","2016","9158930","9,158,930","Mali"
"IOM","2016","9141999","9,141,999","Syrian Arab Republic"
"UNOPS","2016","9114000","9,114,000","Peru"
"UNFPA","2016","9104953.07","9,104,953","Côte d'Ivoire"
"IOM","2016","9089915","9,089,915","Austria"
"UNICEF","2016","9069387.52","9,069,388","Bolivia (Plurinational State of)"
"UNFPA","2016","9049529.32","9,049,529","Malawi"
"UNDP","2016","9043770","9,043,770","Comoros"
"IOM","2016","9024185","9,024,185","Ecuador"
"IOM","2016","8995241","8,995,241","Guinea"
"WFP","2016","8991033.74","8,991,034","El Salvador"
"UNICEF","2016","8897047.33","8,897,047","Mexico"
"UNOPS","2016","8896000","8,896,000","Panama"
"UNDP","2016","8864548","8,864,548","Costa Rica"
"UN-HABITAT","2016","8824191.38","8,824,191","Somalia"
"ILO","2016","8748179","8,748,179","Arab States"
"UNFPA","2016","8718692.18","8,718,692","India"
"WFP","2016","8684319.11","8,684,319","Guinea-Bissau"
"WFP","2016","8645390.95","8,645,391","Kyrgyzstan"
"FAO","2016","8619039.6","8,619,040","Occupied Palestinian Territory"
"WFP","2016","8565327.38","8,565,327","Sri Lanka"
"UNHCR","2016","8556083.09","8,556,083","Malaysia"
"UNDP","2016","8554646","8,554,646","Mauritius"
"UNHCR","2016","8527889.53","8,527,890","Bosnia and Herzegovina"
"WHO","2016","8505843","8,505,843","Burkina Faso"
"FAO","2016","8493413.06","8,493,413","Burkina Faso"
"WHO","2016","8471084","8,471,084","China"
"UNDP","2016","8368512","8,368,512","Gambia"
"UNFPA","2016","8330477.65","8,330,478","Zambia"
"IOM","2016","8318362","8,318,362","Russian Federation"
"WHO","2016","8312630","8,312,630","Viet Nam"
"UNICEF","2016","8263191.08","8,263,191","Guatemala"
"WFP","2016","8214933","8,214,933","Nicaragua"
"FAO","2016","8182410.93","8,182,411","Sri Lanka"
"WFP","2016","8179990.2","8,179,990","Swaziland"
"UNDP","2016","8092714","8,092,714","Thailand"
"IOM","2016","8052182","8,052,182","Sri Lanka"
"IOM","2016","8044479","8,044,479","Chad"
"UNICEF","2016","7988494.52","7,988,495","Colombia"
"IOM","2016","7988378","7,988,378","Finland"
"UNHCR","2016","7964287.1","7,964,287","Bangladesh"
"WHO","2016","7948117","7,948,117","Lebanon"
"UNDP","2016","7908948","7,908,948","Congo"
"UNFPA","2016","7889607.6","7,889,608","Guinea"
"UNFPA","2016","7845317.96","7,845,318","Cameroon"
"UNDP","2016","7790371","7,790,371","Malaysia"
"UNICEF","2016","7788542","7,788,542","Comoros"
"FAO","2016","7776289.46","7,776,289","Madagascar"
"IOM","2016","7769434","7,769,434","El Salvador"
"UNDP","2016","7740879","7,740,879","Cameroon"
"UNICEF","2016","7636255.68","7,636,256","Congo"
"WFP","2016","7607487.77","7,607,488","Papua New Guinea"
"FAO","2016","7597214.27","7,597,214","Haiti"
"UNDP","2016","7591970","7,591,970","Bhutan"
"UNDP","2016","7569830","7,569,830","Cabo Verde"
"WHO","2016","7494570","7,494,570","Egypt"
"UNICEF","2016","7483689.13","7,483,689","Tajikistan"
"WHO","2016","7464053","7,464,053","Papua New Guinea"
"UNDP","2016","7452990","7,452,990","Sao Tome and Principe"
"UNDP","2016","7451745","7,451,745","Montenegro"
"FAO","2016","7431326.38","7,431,326","Myanmar"
"UNFPA","2016","7425770.3","7,425,770","Burkina Faso"
"UNICEF","2016","7418855.72","7,418,856","Chile"
"IOM","2016","7411285","7,411,285","Central African Republic"
"UNDP","2016","7389047","7,389,047","Namibia"
"WHO","2016","7362302","7,362,302","Cambodia"
"WHO","2016","7304360","7,304,360","Occupied Palestinian Territory"
"UNU","2016","7272154","7,272,154","Germany"
"UNICEF","2016","7247445.55","7,247,446","Lesotho"
"UNICEF","2016","7227968.54","7,227,969","Serbia"
"UNHCR","2016","7218244.94","7,218,245","Nepal"
"UNIDO","2016","7193868.274","7,193,868","Nigeria"
"UNFPA","2016","7162156.94","7,162,157","Liberia"
"UNICEF","2016","7112129.86","7,112,130","Timor-Leste"
"UNFPA","2016","7023426.48","7,023,426","Chad"
"UNFPA","2016","6956145.95","6,956,146","Philippines"
"UNFPA","2016","6937420.74","6,937,421","Papua New Guinea"
"UNWOMEN","2016","6928426","6,928,426","Egypt"
"IOM","2016","6927920","6,927,920","Italy"
"UNFPA","2016","6893026.3","6,893,026","Senegal"
"UNHCR","2016","6885546.16","6,885,546","Macedonia (the former Yugoslav Republic of)"
"WHO","2016","6868204","6,868,204","Philippines"
"UNICEF","2016","6860411.27","6,860,411","Kyrgyzstan"
"IOM","2016","6840162","6,840,162","Liberia"
