"agency","Year","Amount","Expenditure","country"
"UNHCR","2018","185972831.3","185,972,831","Iraq"
"UNICEF","2018","184828510.5","184,828,511","Somalia"
"UNICEF","2018","183821951.8","183,821,952","Jordan"
"UNRWA","2018","182791253","182,791,253","Jordan"
"UNHCR","2018","182072099.5","182,072,100","Uganda"
"UNICEF","2018","181947140.6","181,947,141","Afghanistan"
"UNICEF","2018","180193698.1","180,193,698","Pakistan"
"UNRWA","2018","177297277","177,297,277","Lebanon"
"WFP","2018","177094529.4","177,094,529","Uganda"
"UNICEF","2018","174647991.8","174,647,992","Ethiopia"
"UNDP","2018","172835965","172,835,965","Zimbabwe"
"WFP","2018","171052252.4","171,052,252","Bangladesh"
"UNDP","2018","170629981","170,629,981","Ukraine"
"UN","2018","164308343.08","164,308,343","Somalia"
"UNRWA","2018","160661815","160,661,815","Palestine, State of"
"WFP","2018","159044251.4","159,044,251","Kenya"
"UNDP","2018","156767806","156,767,806","Argentina"
"UNHCR","2018","148692064.4","148,692,064","Ethiopia"
"WFP","2018","143038371","143,038,371","Chad"
"WFP","2018","140209753.5","140,209,754","Afghanistan"
"UNHCR","2018","138157041.9","138,157,042","Bangladesh"
"UN","2018","137959243.55","137,959,244","Kenya"
"UNICEF","2018","137825452.6","137,825,453","Syrian Arab Republic"
"WHO","2018","133744586","133,744,586","Yemen"
"UNICEF","2018","128172442.2","128,172,442","Bangladesh"
"IOM","2018","126631931","126,631,931","Switzerland"
"UNHCR","2018","124672509.1","124,672,509","Turkey"
"WHO","2018","123344688","123,344,688","Pakistan"
"UNICEF","2018","122869529.3","122,869,529","Zimbabwe"
"WHO","2018","122336090","122,336,090","Nigeria"
"UNHCR","2018","121127827.1","121,127,827","Yemen"
"FAO","2018","114873959.6","114,873,960","Somalia"
"UNHCR","2018","113803832.9","113,803,833","Kenya"
"UNICEF","2018","113282999.4","113,282,999","Iraq"
"WFP","2018","113041825.4","113,041,825","Niger (the)"
"UNHCR","2018","112733503.3","112,733,503","South Sudan"
"WFP","2018","111663385.8","111,663,386","Iraq"
"UN","2018","109762391.24","109,762,391","Austria"
"WHO","2018","108278427","108,278,427","Congo (the Democratic Republic of the)"
"UNICEF","2018","107702231.4","107,702,231","India"
"UNDP","2018","105811961","105,811,961","Sudan (the)"
"UNDP","2018","104781158","104,781,158","Congo (the Democratic Republic of the)"
"UNDP","2018","104672655","104,672,655","Colombia"
"IOM","2018","102269224","102,269,224","Iraq"
"UN","2018","100588064.12","100,588,064","Thailand"
"UNDP","2018","97610740","97,610,740","South Sudan"
"IOM","2018","95019659","95,019,659","Bangladesh"
"UNDP","2018","94162227","94,162,227","Palestine, State of"
"UN","2018","91262443.56","91,262,444","Lebanon"
"UNHCR","2018","89721298.55","89,721,299","Congo (the Democratic Republic of the)"
"WFP","2018","88944168.21","88,944,168","Central African Republic (the)"
"UNICEF","2018","87712414.91","87,712,415","Sudan (the)"
"UN","2018","86397875.23","86,397,875","Chile"
"UNICEF","2018","85189176.75","85,189,177","Kenya"
"UN","2018","84971547.89","84,971,548","Syrian Arab Republic"
"WFP","2018","84775548.73","84,775,549","Mali"
"IOM","2018","84730021","84,730,021","Colombia"
"UNICEF","2018","80982495.82","80,982,496","Mozambique"
"UN","2018","80781250.39","80,781,250","Colombia"
"UNHCR","2018","78948798.42","78,948,798","Sudan (the)"
"UNICEF","2018","74771330.27","74,771,330","Chad"
"IOM","2018","73517325","73,517,325","Turkey"
"UNHCR","2018","71662639.52","71,662,640","Chad"
"UNOPS","2018","71344158.05","71,344,158","South Sudan"
"IOM","2018","71259923","71,259,923","South Sudan"
"UNICEF","2018","69951034.49","69,951,034","Mali"
"UNOPS","2018","69496942.21","69,496,942","Myanmar"
"WHO","2018","67797128","67,797,128","Afghanistan"
"UNDP","2018","67238509","67,238,509","Somalia"
"UNOPS","2018","66759896.12","66,759,896","Iraq"
"FAO","2018","66593272.52","66,593,273","South Sudan"
"WFP","2018","66531927.8","66,531,928","Malawi"
"UNDP","2018","66009373","66,009,373","China"
"UNDP","2018","65428457","65,428,457","Lebanon"
"UNICEF","2018","64774903.82","64,774,904","Niger (the)"
"UNICEF","2018","64548001.55","64,548,002","Uganda"
"WFP","2018","64267052.7","64,267,053","Egypt"
"UNOPS","2018","63732077.06","63,732,077","Somalia"
"WHO","2018","63134492","63,134,492","Iraq"
"WHO","2018","62768426","62,768,426","India"
"UN","2018","62536212.82","62,536,213","Turkey"
"IOM","2018","62510536","62,510,536","Greece"
"UN","2018","60606335.39","60,606,335","Liberia"
"UNDP","2018","59727192","59,727,192","Brazil"
"UNHCR","2018","58929056.05","58,929,056","Afghanistan"
"UNHCR","2018","58394617.97","58,394,618","Somalia"
"UNDP","2018","57609425","57,609,425","Egypt"
"UNDP","2018","55763056","55,763,056","Pakistan"
"UNDP","2018","55578663","55,578,663","Guatemala"
"IOM","2018","54759603","54,759,603","Yemen"
"IOM","2018","54565220","54,565,220","Somalia"
"UNOPS","2018","53138806.12","53,138,806","Guatemala"
"UN","2018","52537763.44","52,537,763","Israel"
"UNICEF","2018","52120737.77","52,120,738","Malawi"
"UNHCR","2018","52082261.98","52,082,262","Libya"
"UNHCR","2018","51754125.17","51,754,125","Niger (the)"
"UNICEF","2018","51636343.87","51,636,344","Sierra Leone"
"UNHCR","2018","51009897.89","51,009,898","Tanzania, United Republic of"
"IOM","2018","50853184","50,853,184","Nigeria"
"UNICEF","2018","50588430.33","50,588,430","Central African Republic (the)"
"UNOPS","2018","50453529.66","50,453,530","Switzerland"
"WFP","2018","50332688.12","50,332,688","Cameroon"
"UNDP","2018","49548087","49,548,087","Philippines (the)"
"WFP","2018","48555059.72","48,555,060","Tanzania, United Republic of"
"UNICEF","2018","47923913.52","47,923,914","Tanzania, United Republic of"
"UNDP","2018","47604348","47,604,348","Central African Republic (the)"
"IOM","2018","47590534","47,590,534","Peru"
"UNICEF","2018","47130031.34","47,130,031","Côte d'Ivoire"
"WFP","2018","46431602.05","46,431,602","Pakistan"
"IOM","2018","45823823","45,823,823","Ethiopia"
"UNICEF","2018","45812409.79","45,812,410","Haiti"
"UNICEF","2018","45391151.19","45,391,151","Nepal"
"UNICEF","2018","45331821.96","45,331,822","Myanmar"
"WFP","2018","45286879.87","45,286,880","Myanmar"
"UNHCR","2018","45097212.07","45,097,212","Cameroon"
"UNICEF","2018","44829731.62","44,829,732","Madagascar"
"UN","2018","44791397.95","44,791,398","Nigeria"
"UNICEF","2018","44676194.55","44,676,195","Burundi"
"UNOPS","2018","44570914.99","44,570,915","Mali"
"UNDP","2018","44299204","44,299,204","Saudi Arabia"
"UNDP","2018","44156160","44,156,160","Bangladesh"
"WFP","2018","44103349.07","44,103,349","Palestine, State of"
"UNDP","2018","43742005","43,742,005","Malawi"
"WHO","2018","43582756","43,582,756","Syrian Arab Republic"
"WFP","2018","43213765.33","43,213,765","Zimbabwe"
"WHO","2018","43190378","43,190,378","Turkey"
"WFP","2018","42541887.65","42,541,888","Burkina Faso"
"UNHCR","2018","42053570.86","42,053,571","Egypt"
"IOM","2018","41758352","41,758,352","Niger (the)"
"UNDP","2018","41369221","41,369,221","Tanzania, United Republic of"
"UNDP","2018","41076254","41,076,254","Mali"
"UNDP","2018","40983535","40,983,535","Syrian Arab Republic"
"UNHCR","2018","40961415.95","40,961,416","Pakistan"
"IOM","2018","40146835","40,146,835","Jordan"
"UNDP","2018","39952389","39,952,389","India"
"IOM","2018","39917784","39,917,784","Indonesia"
"UNFPA","2018","39906557.55","39,906,558","Iraq"
"UNICEF","2018","39474728.93","39,474,729","Burkina Faso"
"WFP","2018","39344566.41","39,344,566","Burundi"
"IOM","2018","38507051","38,507,051","Libya"
"ICAO","2018","38363070.15","38,363,070","Panama"
"UNDP","2018","38192532","38,192,532","Turkey"
"UNDP","2018","38191195","38,191,195","Dominican Republic (the)"
"FAO","2018","37500808.37","37,500,808","Thailand"
"UNDP","2018","37332928","37,332,928","Ethiopia"
"UNDP","2018","37282527","37,282,527","Peru"
"UNOPS","2018","37271180.87","37,271,181","Peru"
"UNHABITAT","2018","36807536.33","36,807,536","Afghanistan"
"UNFPA","2018","36726969.84","36,726,970","Guatemala"
"UNDP","2018","36609043","36,609,043","Panama"
"UNDP","2018","35807927","35,807,927","Indonesia"
"UNFPA","2018","35607098.03","35,607,098","Syrian Arab Republic"
"WFP","2018","35521074.47","35,521,074","Colombia"
"UNDP","2018","35499342","35,499,342","Bosnia and Herzegovina"
"UNICEF","2018","34691743.26","34,691,743","Cameroon"
"UNICEF","2018","34152946.96","34,152,947","Zambia"
"IOM","2018","34073491","34,073,491","Afghanistan"
"UNICEF","2018","33884503.16","33,884,503","Indonesia"
"IOM","2018","33851782","33,851,782","Germany"
"UNOPS","2018","33727588.53","33,727,589","El Salvador"
"UNICEF","2018","33469791.02","33,469,791","China"
"WFP","2018","33249201.24","33,249,201","Mauritania"
"IOM","2018","33218287","33,218,287","Ukraine"
"UNHCR","2018","32994818","32,994,818","Rwanda"
"UN","2018","32919733.770000003","32,919,734","Mali"
"FAO","2018","32739657.57","32,739,658","Yemen"
"UNICEF","2018","32684497.97","32,684,498","Ghana"
"WFP","2018","32677047.5","32,677,048","Senegal"
"FAO","2018","32135763.76","32,135,764","Afghanistan"
"UNDP","2018","32066445","32,066,445","Libya"
"WFP","2018","32021848.88","32,021,849","Rwanda"
"FAO","2018","31894789.32","31,894,789","Chile"
"UNU","2018","31715173","31,715,173","Japan"
"UNDP","2018","31652797","31,652,797","Myanmar"
"IOM","2018","31324153","31,324,153","Pakistan"
"WFP","2018","31206523.73","31,206,524","Mozambique"
"WHO","2018","31151575","31,151,575","Somalia"
"UNDP","2018","31042046","31,042,046","Chad"
"FAO","2018","30875365.59","30,875,366","Colombia"
"IOM","2018","30844745","30,844,745","Belgium"
"IOM","2018","30627005","30,627,005","United States of America (the)"
"FAO","2018","30359917.32","30,359,917","Egypt"
"UNDP","2018","29987205","29,987,205","Nigeria"
"UN","2018","29882667.3","29,882,667","Netherlands (the)"
"UNDP","2018","29855639","29,855,639","Liberia"
"ICAO","2018","29767040.99","29,767,041","Argentina"
"WHO","2018","29652892","29,652,892","Ethiopia"
"UNICEF","2018","29627504.14","29,627,504","Guinea"
"IOM","2018","29556269","29,556,269","Kenya"
"UN","2018","29459090.000000004","29,459,090","Palestine, State of"
"IOM","2018","29370028","29,370,028","Philippines (the)"
"FAO","2018","29056298.03","29,056,298","Ghana"
"UNICEF","2018","28951836.18","28,951,836","Korea (the Democratic People's Republic of)"
"UNHCR","2018","28413305.35","28,413,305","Central African Republic (the)"
"UNIDO","2018","28376290.98","28,376,291","China"
"UNFPA","2018","28351883.91","28,351,884","Bangladesh"
"UNDP","2018","28346303","28,346,303","Sierra Leone"
"IOM","2018","28262140","28,262,140","Thailand"
"UNOPS","2018","28226106.61","28,226,107","Afghanistan"
"UNHCR","2018","28113350.78","28,113,351","Nigeria"
"WFP","2018","28018049.4","28,018,049","Madagascar"
"UNICEF","2018","27882715.03","27,882,715","Eritrea"
"UNHCR","2018","27859629.93","27,859,630","Iran (Islamic Republic of)"
"UNDP","2018","27760665","27,760,665","Kenya"
"UNDP","2018","27745297","27,745,297","Burundi"
"UNDP","2018","27669780","27,669,780","Mexico"
"UNDP","2018","27565431","27,565,431","Moldova (the Republic of)"
"UNFPA","2018","27088930.1","27,088,930","Mozambique"
"UNICEF","2018","26982280.23","26,982,280","Egypt"
"UNICEF","2018","26691472.51","26,691,473","Palestine, State of"
"UNDP","2018","26456684","26,456,684","Haiti"
"WHO","2018","26343929","26,343,929","South Sudan"
"UNDP","2018","26035582","26,035,582","Senegal"
"UNDP","2018","26024609","26,024,609","Angola"
"FAO","2018","25814063.72","25,814,064","Pakistan"
"UNHCR","2018","25702273.82","25,702,274","Burundi"
"UNDP","2018","25659053","25,659,053","Paraguay"
"UNDP","2018","25292445","25,292,445","Uruguay"
"UNDP","2018","25152138","25,152,138","Viet Nam"
"UNICEF","2018","25052410.27","25,052,410","Ukraine"
"UNDP","2018","25013826","25,013,826","Togo"
"UNFPA","2018","24981177.14","24,981,177","South Sudan"
"UNFPA","2018","24905754.21","24,905,754","Yemen"
"UNICEF","2018","24870046.17","24,870,046","Philippines (the)"
"UNICEF","2018","24552593.03","24,552,593","Papua New Guinea"
"UNDP","2018","24098915","24,098,915","Guinea-Bissau"
"UNOPS","2018","24023791.76","24,023,792","Sudan (the)"
"UNFPA","2018","24011401.74","24,011,402","Turkey"
"WHO","2018","23842660","23,842,660","Bangladesh"
"UNDP","2018","23640769","23,640,769","Nepal"
"UN","2018","23559925.099999998","23,559,925","Congo (the Democratic Republic of the)"
"UNDP","2018","23557823","23,557,823","Cuba"
"WFP","2018","23406678.07","23,406,678","Haiti"
"WFP","2018","23199170.61","23,199,171","Nepal"
"UNDP","2018","23105341","23,105,341","Tajikistan"
"FAO","2018","23084348.13","23,084,348","Hungary"
"UNDP","2018","22918784","22,918,784","Ecuador"
"UNICEF","2018","22905904.78","22,905,905","Liberia"
"UNOPS","2018","22859039.24","22,859,039","United States of America (the)"
"UNDP","2018","22583382","22,583,382","Niger (the)"
"UNDP","2018","22487932","22,487,932","Zambia"
"UNICEF","2018","22422950.55","22,422,951","Rwanda"
"UNICEF","2018","22387444.85","22,387,445","Angola"
"WHO","2018","22326050","22,326,050","Papua New Guinea"
"UN","2018","22259224.22","22,259,224","Pakistan"
"IOM","2018","22242069","22,242,069","Lebanon"
"UNICEF","2018","22174389.32","22,174,389","Cambodia"
"WFP","2018","22164082.8","22,164,083","Honduras"
"UNDP","2018","22008101","22,008,101","Cambodia"
"FAO","2018","21994468.19","21,994,468","Ethiopia"
"UNFPA","2018","21876187.24","21,876,187","Congo (the Democratic Republic of the)"
"UNICEF","2018","21714219.2","21,714,219","Fiji"
"WHO","2018","21533925","21,533,925","Sudan (the)"
"UNFPA","2018","21209328.17","21,209,328","Somalia"
"UNFPA","2018","21176253.02","21,176,253","Nigeria"
"UNFPA","2018","21061961.75","21,061,962","Sierra Leone"
"UNDP","2018","20957511","20,957,511","Guinea"
"IOM","2018","20922493","20,922,493","Congo (the Democratic Republic of the)"
"UNDP","2018","20819031","20,819,031","Kyrgyzstan"
"FAO","2018","20804494.13","20,804,494","Congo (the Democratic Republic of the)"
"UNHCR","2018","20785681.45","20,785,681","Colombia"
"UNDP","2018","20579183","20,579,183","Chile"
"UNOPS","2018","20529499.11","20,529,499","Yemen"
"UNHCR","2018","20478921.58","20,478,922","Ukraine"
"UNDP","2018","20439336","20,439,336","Madagascar"
"UNDP","2018","20404734","20,404,734","Georgia"
"UNDP","2018","20089153","20,089,153","Sri Lanka"
"UNDP","2018","20085799","20,085,799","Uganda"
"UN","2018","20032766.65","20,032,767","Guinea-Bissau"
"FAO","2018","19915363.98","19,915,364","Zimbabwe"
"UNDP","2018","19866282","19,866,282","Uzbekistan"
"IOM","2018","19862211","19,862,211","Sudan (the)"
"UNDP","2018","19582689","19,582,689","El Salvador"
"UNOPS","2018","19347227.42","19,347,227","Central African Republic (the)"
"UNDP","2018","19149703","19,149,703","Jordan"
"UNDP","2018","18539517","18,539,517","Serbia"
"UNDP","2018","18519303","18,519,303","Macedonia (the former Yugoslav Republic of)"
"UNHCR","2018","18510431.12","18,510,431","Italy"
"UNHCR","2018","18420310.53","18,420,311","Angola"
"UNICEF","2018","18228447.01","18,228,447","Brazil"
"IOM","2018","17998521","17,998,521","Italy"
"UNDP","2018","17887747","17,887,747","Papua New Guinea"
"FAO","2018","17669296.86","17,669,297","Kenya"
"FAO","2018","17556680.2","17,556,680","Nigeria"
"UNDP","2018","17228252","17,228,252","Fiji"
"IOM","2018","17225411","17,225,411","Haiti"
"UNFPA","2018","17188659.05","17,188,659","Zimbabwe"
"WFP","2018","17080235.79","17,080,236","Algeria"
"UNDP","2018","17041949","17,041,949","Kuwait"
"ICAO","2018","16843505.16","16,843,505","Somalia"
"UNICEF","2018","16775219","16,775,219","Argentina"
"UNDP","2018","16731900","16,731,900","Kazakhstan"
"UNICEF","2018","16643348.8","16,643,349","Senegal"
"FAO","2018","16622224.11","16,622,224","Bangladesh"
"UNHCR","2018","16589311.77","16,589,312","Senegal"
"UNHCR","2018","16531885.29","16,531,885","Thailand"
"WHO","2018","16499720","16,499,720","Kenya"
"UN","2018","16482398.57","16,482,399","Cambodia"
"UNHCR","2018","16303974.46","16,303,974","Panama"
"UNFPA","2018","16278172.17","16,278,172","Ethiopia"
"IOM","2018","16192514","16,192,514","Uganda"
"UNICEF","2018","16172760.31","16,172,760","Libya"
"UNDP","2018","16019211","16,019,211","Benin"
"UNHCR","2018","15863468.08","15,863,468","Algeria"
"IOM","2018","15732129","15,732,129","Argentina"
"ILO","2018","15632969","15,632,969","Bangladesh"
"WHO","2018","15540705","15,540,705","Chad"
"UNHCR","2018","15510787.16","15,510,787","Myanmar"
"UNHCR","2018","15464562.84","15,464,563","South Africa"
"WFP","2018","15385127.85","15,385,128","Thailand"
"UNICEF","2018","15234831.19","15,234,831","Togo"
"UNFPA","2018","15207250.7","15,207,251","Afghanistan"
"UNOPS","2018","15076487.08","15,076,487","Congo (the Democratic Republic of the)"
"ILO","2018","14996602","14,996,602","Colombia"
"IOM","2018","14919363","14,919,363","Tanzania, United Republic of"
"UNDP","2018","14785072","14,785,072","Armenia"
"ILO","2018","14647493","14,647,493","Jordan"
"ILO","2018","14556124","14,556,124","Viet Nam"
"UNDP","2018","14477474","14,477,474","Samoa"
"WFP","2018","14466467.99","14,466,468","South Africa"
"UNDP","2018","14442223","14,442,223","Morocco"
"UN","2018","14301651.969999999","14,301,652","South Sudan"
"UNDP","2018","14272252","14,272,252","Barbados"
"UNFPA","2018","14255341.63","14,255,342","Tanzania, United Republic of"
"UNDP","2018","14179511","14,179,511","Honduras"
"UNFPA","2018","14149026.36","14,149,026","Niger (the)"
"UNHABITAT","2018","14147540.68","14,147,541","Iraq"
"IOM","2018","14014879","14,014,879","Myanmar"
"UNFPA","2018","14004413.83","14,004,414","Jordan"
"UNDP","2018","13963709","13,963,709","Bolivia (Plurinational State of)"
"UNHCR","2018","13960044.06","13,960,044","Burkina Faso"
"UNHCR","2018","13959675.66","13,959,676","Mexico"
"WFP","2018","13928259.28","13,928,259","Panama"
"UN","2018","13912586.34","13,912,586","Sudan (the)"
"UN","2018","13854650.93","13,854,651","Central African Republic (the)"
"WFP","2018","13849091.28","13,849,091","Congo (the)"
"UNFPA","2018","13794495.52","13,794,496","Uganda"
"UNU","2018","13766779","13,766,779","Finland"
"UNICEF","2018","13711270.53","13,711,271","Benin"
"UNICEF","2018","13677802.29","13,677,802","Colombia"
"UNDP","2018","13663304","13,663,304","Burkina Faso"
"UNHCR","2018","13627024.67","13,627,025","Mali"
"UNDP","2018","13608877","13,608,877","Lao People's Democratic Republic (the)"
"WFP","2018","13573167.09","13,573,167","Lao People's Democratic Republic (the)"
"WFP","2018","13541532.85","13,541,533","Cambodia"
"UNFPA","2018","13508114.85","13,508,115","Myanmar"
"UNHCR","2018","13500042.95","13,500,043","Mauritania"
"UNICEF","2018","13455842.63","13,455,843","Mauritania"
"WHO","2018","13442905","13,442,905","Angola"
"FAO","2018","13438027.42","13,438,027","Mali"
"UNICEF","2018","13299845.01","13,299,845","Guinea-Bissau"
"WHO","2018","13280849","13,280,849","Indonesia"
"IOM","2018","13262328","13,262,328","Netherlands (the)"
"UNDP","2018","13153696","13,153,696","Tunisia"
"IOM","2018","13122238","13,122,238","Egypt"
"FAO","2018","13076745.62","13,076,746","Mozambique"
"UNDP","2018","13003905","13,003,905","Côte d'Ivoire"
"UNDP","2018","12947373","12,947,373","Rwanda"
"WHO","2018","12872574","12,872,574","Myanmar"
"UNICEF","2018","12839026.62","12,839,027","Thailand"
"UNICEF","2018","12801109.66","12,801,110","Barbados"
"UNOPS","2018","12792792.65","12,792,793","Panama"
"UNFPA","2018","12777654.3","12,777,654","Haiti"
"UNOPS","2018","12605354.18","12,605,354","Costa Rica"
"UNHCR","2018","12582237.08","12,582,237","Zambia"
"UNDP","2018","12580551","12,580,551","Albania"
"UNICEF","2018","12473564.35","12,473,564","Viet Nam"
"UNICEF","2018","12436773.6","12,436,774","Mexico"
"WHO","2018","12365032","12,365,032","Palestine, State of"
"UNDP","2018","12310020","12,310,020","South Africa"
"UNOPS","2018","12253451.88","12,253,452","Italy"
"UNHCR","2018","12236728.18","12,236,728","Ecuador"
"UN","2018","12203545.03","12,203,545","Jordan"
"FAO","2018","12198293.56","12,198,294","Uganda"
"UN","2018","12175044.72","12,175,045","Myanmar"
"WHO","2018","11916627","11,916,627","Niger (the)"
"UNOPS","2018","11904401.77","11,904,402","Sierra Leone"
"IOM","2018","11844208","11,844,208","Senegal"
"UNICEF","2018","11733980.27","11,733,980","Lao People's Democratic Republic (the)"
"UNDP","2018","11606678","11,606,678","Cameroon"
"UNFPA","2018","11596408.58","11,596,409","Malawi"
"UNDP","2018","11547036","11,547,036","Montenegro"
"UNIDO","2018","11540979.24","11,540,979","Russian Federation (the)"
"IOM","2018","11458383","11,458,383","Burundi"
"UNDP","2018","11435981","11,435,981","Azerbaijan"
"WHO","2018","11434519","11,434,519","Sierra Leone"
"UNHCR","2018","11417055.93","11,417,056","Congo (the)"
"WFP","2018","11363782.87","11,363,783","Benin"
"UNDP","2018","11281432","11,281,432","Turkmenistan"
"WFP","2018","11280563.46","11,280,563","Philippines (the)"
"UNFPA","2018","11201757.47","11,201,757","Sudan (the)"
"UNFPA","2018","11172811.53","11,172,812","Pakistan"
"UNDP","2018","10949398","10,949,398","Timor-Leste"
"ILO","2018","10945760","10,945,760","Lebanon"
"PAHO","2018","10940514","10,940,514","Guatemala"
"UNHCR","2018","10912070.1","10,912,070","Brazil"
"IOM","2018","10894327","10,894,327","Bosnia and Herzegovina"
"UNDP","2018","10862519","10,862,519","Iran (Islamic Republic of)"
"WHO","2018","10834471","10,834,471","Mozambique"
"UNOPS","2018","10790323.85","10,790,324","Nepal"
"UNOPS","2018","10675741.69","10,675,742","Haiti"
"FAO","2018","10665881.41","10,665,881","Barbados"
"UNDP","2018","10639677","10,639,677","Mauritania"
"UN","2018","10630846.63","10,630,847","Burundi"
"FAO","2018","10601048.8","10,601,049","Sudan (the)"
"UNFPA","2018","10560037.89","10,560,038","Mali"
"UNHCR","2018","10546259.04","10,546,259","Costa Rica"
"ILO","2018","10515650","10,515,650","Myanmar"
"UNOPS","2018","10444069.91","10,444,070","Kenya"
"UNDP","2018","10393902","10,393,902","Djibouti"
"IOM","2018","10367412","10,367,412","Central African Republic (the)"
"UNOPS","2018","10273665.87","10,273,666","Argentina"
"WFP","2018","10201909.35","10,201,909","Ecuador"
"WFP","2018","10054671.81","10,054,672","Côte d'Ivoire"
"UNOPS","2018","10033947.64","10,033,948","Colombia"
"WFP","2018","10022132.01","10,022,132","Korea (the Democratic People's Republic of)"
"UNFPA","2018","9989235.07","9,989,235","Zambia"
"WFP","2018","9959551.32","9,959,551","Tajikistan"
"UNOPS","2018","9865510.797","9,865,511","Palestine, State of"
"UNICEF","2018","9814837.41","9,814,837","Lesotho"
"UNHABITAT","2018","9797432.07","9,797,432","Saudi Arabia"
"UNICEF","2018","9783682.56","9,783,683","Peru"
"IOM","2018","9770382","9,770,382","South Africa"
"FAO","2018","9729070.09","9,729,070","Malawi"
"UNDP","2018","9720908","9,720,908","Mozambique"
"FAO","2018","9715765.38","9,715,765","Burkina Faso"
"IOM","2018","9691626","9,691,626","Mali"
"WFP","2018","9667494.48","9,667,494","Liberia"
"FAO","2018","9661755.1","9,661,755","Chad"
"UNIDO","2018","9606568.838","9,606,569","India"
"FAO","2018","9593016.92","9,593,017","Myanmar"
"PAHO","2018","9590130","9,590,130","Dominican Republic (the)"
"UNICEF","2018","9571959.08","9,571,959","Malaysia"
"WHO","2018","9555986","9,555,986","Cameroon"
"IOM","2018","9506746","9,506,746","Serbia"
"FAO","2018","9425884.5","9,425,885","Turkey"
"UNDP","2018","9374101","9,374,101","Cyprus"
"PAHO","2018","9359603","9,359,603","Haiti"
"ILO","2018","9291393","9,291,393","Indonesia"
"UNHCR","2018","9288477.164","9,288,477","Côte d'Ivoire"
"WHO","2018","9194700","9,194,700","Uganda"
"UNHCR","2018","9136017.708","9,136,018","United States of America (the)"
"UNICEF","2018","9129550.05","9,129,550","Bolivia (Plurinational State of)"
"WFP","2018","9127324.72","9,127,325","Libya"
"UNICEF","2018","9121236.52","9,121,237","South Africa"
"UNHCR","2018","9107744.155","9,107,744","Djibouti"
"UNDP","2018","9040151","9,040,151","Eritrea"
"UNFPA","2018","9036344.23","9,036,344","Kenya"
"UNDP","2018","8974218","8,974,218","Kosovo"
"FAO","2018","8961458.84","8,961,459","Central African Republic (the)"
"WFP","2018","8918110.24","8,918,110","Guinea"
"UNFPA","2018","8882683.65","8,882,684","Cameroon"
"UNICEF","2018","8848923.05","8,848,923","Congo (the)"
"WFP","2018","8837626.34","8,837,626","Zambia"
"UNICEF","2018","8825192.95","8,825,193","Guatemala"
"UNU","2018","8818887","8,818,887","Germany"
"ICAO","2018","8818182.923","8,818,183","Peru"
"PAHO","2018","8780606","8,780,606","Honduras"
"UNDP","2018","8723676","8,723,676","Malaysia"
"WHO","2018","8715259","8,715,259","Lebanon"
"WHO","2018","8711603","8,711,603","Central African Republic (the)"
"UNHCR","2018","8692799.562","8,692,800","Malaysia"
"UNWOMEN","2018","8690686.53","8,690,687","Papua New Guinea"
"UNDP","2018","8688497","8,688,497","Comoros (the)"
"UNHCR","2018","8636161.732","8,636,162","Serbia"
"WHO","2018","8615672","8,615,672","Libya"
"FAO","2018","8602107.31","8,602,107","Senegal"
"WFP","2018","8598730.31","8,598,730","Kyrgyzstan"
