"Year","country","Expenditure"
"2016","Libya","62,583,369"
"2016","Arab States","62,396,052"
"2016","Algeria","60,370,319"
"2016","Tajikistan","59,925,248"
"2016","Serbia","59,763,904"
"2016","Fiji","57,348,402"
"2016","Mexico","56,647,116"
"2016","Bosnia and Herzegovina","54,354,638"
"2016","Djibouti","51,661,144"
"2016","Kyrgyzstan","51,658,719"
"2016","Guinea-Bissau","49,319,220"
"2016","Dominican Republic","48,118,461"
"2016","Chile","47,171,231"
"2016","Benin","46,899,798"
"2016","Japan","46,768,825"
"2016","Eastern Africa","46,604,507"
"2016","Germany","45,900,351"
"2016","Paraguay","45,306,140"
"2016","Morocco","45,273,485"
"2016","Denmark","43,491,124"
"2016","Georgia","42,844,587"
"2016","Malaysia","40,615,017"
"2016","Tunisia","40,585,103"
"2016","Eastern Europe","40,350,485"
"2016","Eritrea","39,543,104"
"2016","Timor-Leste","38,979,793"
"2016","Congo","38,597,194"
"2016","Lesotho","36,281,589"
"2016","Togo","35,995,971"
"2016","Bolivia (Plurinational State of)","35,409,649"
"2016","Eastern Asia","34,351,652"
"2016","Republic of Moldova","34,051,894"
"2016","Macedonia (the former Yugoslav Republic of)","33,943,053"
"2016","Russian Federation","33,828,025"
"2016","Belarus","33,022,329"
"2016","Kazakhstan","31,678,502"
"2016","Belgium","31,605,508"
"2016","Southern Africa","31,238,602"
"2016","Kosovo","30,880,205"
"2016","Costa Rica","29,521,099"
"2016","South America","28,819,787"
"2016","Armenia","28,788,172"
"2016","Uruguay","26,513,990"
"2016","Uzbekistan","26,419,299"
"2016","Venezuela (Bolivarian Republic of)","26,419,054"
"2016","Namibia","26,271,915"
"2016","Cuba","25,704,885"
"2016","Albania","25,158,407"
"2016","Mongolia","24,467,245"
"2016","Gambia","23,694,143"
"2016","Netherlands","22,686,316"
"2016","Italy","22,636,927"
"2016","Swaziland","22,598,866"
"2016","Nicaragua","22,494,609"
"2016","Azerbaijan","21,491,745"
"2016","Southern Asia","20,005,602"
"2016","Comoros","19,854,861"
"2016","Finland","19,577,856"
"2016","Bhutan","18,320,903"
"2016","Cabo Verde","16,467,401"
"2016","Micronesia (Federated States of)","16,324,263"
"2016","Kuwait","15,825,459"
"2016","Equatorial Guinea","15,756,555"
"2016","Samoa","15,156,813"
"2016","Oceania","14,221,178"
"2016","Maldives","14,153,670"
"2016","Montenegro","13,320,914"
"2016","Botswana","13,206,791"
"2016","Barbados","12,889,778"
"2016","Cyprus","12,516,608"
"2016","Caribbean","12,364,108"
"2016","Norway","12,316,138"
"2016","Guyana","12,201,386"
"2016","Sao Tome and Principe","11,936,666"
"2016","Turkmenistan","11,675,762"
"2016","Poland","11,509,618"
"2016","Croatia","11,118,788"
"2016","Jamaica","11,104,482"
"2016","Lithuania","10,873,641"
"2016","Austria","10,815,077"
"2016","Gabon","10,770,932"
"2016","Romania","10,484,558"
"2016","Asia and the Pacific","10,368,702"
"2016","Mauritius","9,942,293"
"2016","United Arab Emirates","8,554,278"
"2016","Solomon Islands","8,494,765"
"2016","Belize","7,595,144"
"2016","Australia","7,492,449"
"2016","Trinidad and Tobago","7,380,243"
"2016","Réunion","6,612,762"
"2016","Bulgaria","6,144,012"
"2016","United Kingdom of Great Britain and Northern Ireland","5,739,835"
"2016","Spain","5,702,658"
"2016","Asia","5,347,377"
"2016","Middle Africa","5,278,400"
"2016","Western Sahara","4,882,628"
"2016","Hungary","4,872,195"
"2016","Western Asia","4,686,981"
"2016","Northern America","4,661,237"
"2016","Oman","4,280,875"
"2016","France","4,218,014"
"2016","Central America","4,213,381"
"2016","Republic of Korea","3,758,414"
"2016","Sweden","3,438,675"
"2016","Vanuatu","3,331,521"
"2016","Suriname","3,199,497"
"2016","Bahrain","3,192,273"
"2016","China, Macao Special Administrative Region","3,084,374"
"2016","Slovenia","3,080,438"
"2016","Israel","2,801,146"
"2016","Cook Islands","2,611,613"
"2016","Slovakia","2,566,998"
"2016","Grenada","2,392,705"
"2016","Liechtenstein","2,371,407"
"2016","Marshall Islands","2,050,638"
"2016","Ireland","2,043,485"
"2016","Middle East","2,034,919"
"2016","Saint Lucia","1,962,000"
"2016","Malta","1,416,828"
"2016","Seychelles","1,372,085"
"2016","Portugal","1,297,504"
"2016","Tonga","1,297,299"
"2016","Czech Republic","1,000,631"
"2016","Kiribati","737,123"
"2016","Saint Kitts and Nevis","644,170"
"2016","Estonia","610,025"
"2016","Dominica","521,747"
"2016","Saint Vincent and the Grenadines","515,747"
"2016","Niue","438,152"
"2016","Africa Horn","411,341"
"2016","Singapore","351,564"
"2016","Latvia","339,835"
"2016","China, Hong Kong Special Administrative Region","338,032"
"2016","Qatar","301,714"
"2016","Palau","237,006"
"2016","Nauru","213,677"
"2016","Tokelau","194,653"
"2016","Bahamas","154,961"
"2016","Tuvalu","119,484"
"2016","Middle East and North Africa","84,326"
"2016","Montserrat","71,676"
"2016","Antigua and Barbuda","67,163"
"2016","Curaçao","61,640"
"2016","Brunei Darussalam","53,964"
"2016","Guam","46,000"
"2016","American Samoa","33,105"
"2016","Northern Mariana Islands","32,284"
"2016","New Zealand","13,278"
"2016","Martinique","12,581"
"2016","Iceland","10,003"
"2016","Saint Helena","-13,063"
