"agency","Year","Amount","Expenditure","country"
"UNHCR","2017","42481412.51","42,481,413","Rwanda"
"UNHCR","2017","42239729","42,239,729","Egypt"
"WFP","2017","41964738.19","41,964,738","Haiti"
"UNDP","2017","41857575","41,857,575","Zambia"
"UNDP","2017","41546591","41,546,591","Turkey"
"WFP","2017","41330858.19","41,330,858","Myanmar"
"UNDP","2017","41246216","41,246,216","Philippines"
"WFP","2017","41234236.72","41,234,237","Bangladesh"
"WHO","2017","41142637","41,142,637","Congo (the Democratic Republic of the)"
"UNU","2017","40275557","40,275,557","Algeria"
"UNOPS","2017","40111325","40,111,325","Switzerland"
"WFP","2017","39512045.92","39,512,046","Madagascar"
"UNDP","2017","38917635","38,917,635","Central African Republic"
"UNIDO","2017","38721244.23","38,721,244","China"
"UNICEF","2017","38661695","38,661,695","Cameroon"
"UNDP","2017","38554181","38,554,181","Bangladesh"
"IOM","2017","38525743","38,525,743","Afghanistan"
"UNDP","2017","38320778","38,320,778","Haiti"
"UNICEF","2017","38276903","38,276,903","Liberia"
"UNDP","2017","36864344","36,864,344","Paraguay"
"UNDP","2017","36819977","36,819,977","Panama"
"UNDP","2017","36731001","36,731,001","Dominican Republic"
"WHO","2017","36165151","36,165,151","Syrian Arab Republic"
"UNDP","2017","36068193","36,068,193","Peru"
"UNICEF","2017","35877238","35,877,238","Guinea"
"IOM","2017","35575764","35,575,764","Germany"
"IOM","2017","35396784","35,396,784","Kenya"
"UNHCR","2017","35104501.32","35,104,501","Bosnia and Herzegovina"
"IOM","2017","34923680","34,923,680","Ukraine"
"UNHCR","2017","34903749.4","34,903,749","Iran (Islamic Republic of)"
"UNICEF","2017","34876190","34,876,190","Burkina Faso"
"UN-HABITAT","2017","34849573.07","34,849,573","Afghanistan"
"IOM","2017","34393438","34,393,438","United States of America"
"UNICEF","2017","34384935","34,384,935","Ukraine"
"UNDP","2017","34364299","34,364,299","Nepal"
"UNDP","2017","34343425","34,343,425","Kenya"
"UNOPS","2017","34274825","34,274,825","Afghanistan"
"WFP","2017","34273280.76","34,273,281","Burundi"
"UNICEF","2017","34255462","34,255,462","Côte d'Ivoire"
"UNHCR","2017","33944219.76","33,944,220","Bangladesh"
"UNU","2017","33648599","33,648,599","Japan"
"UNDP","2017","33530094","33,530,094","Kyrgyzstan"
"UNHCR","2017","33524917.47","33,524,917","Niger"
"UNDP","2017","32857519","32,857,519","Togo"
"WFP","2017","32551210.91","32,551,211","Rwanda"
"IOM","2017","32511341","32,511,341","Pakistan"
"UNOPS","2017","31723514","31,723,514","Iraq"
"UNHCR","2017","31557820.2","31,557,820","Central African Republic"
"UNDP","2017","31427113","31,427,113","Tajikistan"
"UNDP","2017","31318668","31,318,668","Liberia"
"FAO","2017","31205553.96","31,205,554","Zimbabwe"
"UNDP","2017","31124368","31,124,368","Nigeria"
"ICAO","2017","31046000.68","31,046,001","Argentina"
"UNICEF","2017","30796464","30,796,464","Democratic People's Republic of Korea"
"UNHCR","2017","30779814.76","30,779,815","Nigeria"
"UNICEF","2017","30763833","30,763,833","China"
"WHO","2017","30699708","30,699,708","South Sudan"
"UNICEF","2017","30618609","30,618,609","Rwanda"
"WHO","2017","29933726","29,933,726","Turkey"
"IOM","2017","29798304","29,798,304","Libya"
"UNDP","2017","29448447","29,448,447","Bosnia and Herzegovina"
"IOM","2017","29263387","29,263,387","Bangladesh"
"UNDP","2017","29205636","29,205,636","Tanzania, United Republic of"
"IOM","2017","29188053","29,188,053","Yemen"
"WHO","2017","28998222","28,998,222","Somalia"
"UNICEF","2017","28723090","28,723,090","Indonesia"
"UNICEF","2017","28536315","28,536,315","Angola"
"UNDP","2017","28448408","28,448,408","Myanmar"
"UNDP","2017","27954133","27,954,133","Cuba"
"UNDP","2017","27846732","27,846,732","Saudi Arabia"
"UN","2017","27576290.45","27,576,290","Netherlands"
"IOM","2017","27503532","27,503,532","Belgium"
"UNDP","2017","27475003","27,475,003","Ethiopia"
"UNHCR","2017","27426575.32","27,426,575","Libya"
"IOM","2017","27130986","27,130,986","Thailand"
"UNICEF","2017","27124071","27,124,071","Occupied Palestinian Territory"
"UN","2017","26858340.569999997","26,858,341","Occupied Palestinian Territory"
"IOM","2017","26826686","26,826,686","Haiti"
"WHO","2017","26681426","26,681,426","Ethiopia"
"IOM","2017","26571583","26,571,583","Nigeria"
"UN","2017","25953163.06","25,953,163","Bangladesh"
"UNDP","2017","25850297","25,850,297","Indonesia"
"WFP","2017","25841476.02","25,841,476","Nepal"
"IOM","2017","25664372","25,664,372","Ethiopia"
"UNDP","2017","25458135","25,458,135","Chile"
"UNOPS","2017","25272621","25,272,621","Sudan"
"WHO","2017","25042114","25,042,114","Sudan"
"UNDP","2017","24988094","24,988,094","Libya"
"UNDP","2017","24863854","24,863,854","Angola"
"IOM","2017","24386280","24,386,280","Lebanon"
"UNOPS","2017","23735073","23,735,073","United States of America"
"WHO","2017","23427567","23,427,567","Myanmar"
"UNDP","2017","23399289","23,399,289","Mexico"
"UNICEF","2017","23392310","23,392,310","Cambodia"
"UN","2017","23340382.79","23,340,383","Mali"
"UNOPS","2017","23229977","23,229,977","Myanmar"
"IOM","2017","23077855","23,077,855","Niger"
"WFP","2017","22865928.17","22,865,928","Honduras"
"UNDP","2017","22842228","22,842,228","Jordan"
"UNDP","2017","22791823","22,791,823","Republic of Moldova"
"UNFPA","2017","22625099.93","22,625,100","Turkey"
"WHO","2017","22591865","22,591,865","Sierra Leone"
"UNFPA","2017","22455723.06","22,455,723","Sierra Leone"
"FAO","2017","22255264.41","22,255,264","Nigeria"
"UN","2017","22250675.689999998","22,250,676","Pakistan"
"UN","2017","22140900.27","22,140,900","Myanmar"
"UNOPS","2017","21991803","21,991,803","El Salvador"
"UNHCR","2017","21955450.3","21,955,450","Ukraine"
"UNDP","2017","21938993","21,938,993","Cambodia"
"IOM","2017","21904700","21,904,700","Philippines"
"WFP","2017","21812344.72","21,812,345","Senegal"
"WFP","2017","21671497.52","21,671,498","Mauritania"
"UNDP","2017","21666385","21,666,385","Fiji"
"UNFPA","2017","21655833.92","21,655,834","South Sudan"
"UNDP","2017","21645874","21,645,874","Honduras"
"UNDP","2017","21491497","21,491,497","Guinea"
"IOM","2017","21326876","21,326,876","Micronesia (Federated States of)"
"WHO","2017","21313117","21,313,117","Bangladesh"
"UNDP","2017","21267474","21,267,474","Sierra Leone"
"UNDP","2017","21019004","21,019,004","Guinea-Bissau"
"UNFPA","2017","21006759.46","21,006,759","Congo (the Democratic Republic of the)"
"FAO","2017","20938079.34","20,938,079","Bahrain"
"UNICEF","2017","20611411","20,611,411","Philippines"
"UN","2017","20505827.8","20,505,828","Chad"
"FAO","2017","20504007.62","20,504,008","Pakistan"
"UNICEF","2017","20382650","20,382,650","Fiji"
"UNHCR","2017","20381933.27","20,381,933","Italy"
"FAO","2017","20265502.28","20,265,502","Ethiopia"
"UNICEF","2017","20257152","20,257,152","Argentina"
"UNFPA","2017","20231403.42","20,231,403","Nigeria"
"UNOPS","2017","20058372","20,058,372","Central African Republic"
"UN","2017","20047056.880000003","20,047,057","Cambodia"
"UNDP","2017","19859842","19,859,842","Uruguay"
"UNDP","2017","19811037","19,811,037","Armenia"
"UNDP","2017","19772931","19,772,931","Niger"
"UNFPA","2017","19662883.87","19,662,884","Syrian Arab Republic"
"UNDP","2017","19660895","19,660,895","Kazakhstan"
"UNDP","2017","19524701","19,524,701","El Salvador"
"UNHCR","2017","19439692.33","19,439,692","Senegal"
"UNDP","2017","19437926","19,437,926","Georgia"
"WFP","2017","19422117.74","19,422,118","Democratic People's Republic of Korea"
"UNDP","2017","19347279","19,347,279","Papua New Guinea"
"UN","2017","19340366.63","19,340,367","Uganda"
"UNHCR","2017","19081254.18","19,081,254","Burundi"
"UN","2017","18531534.3","18,531,534","Guinea-Bissau"
"UNICEF","2017","18356168","18,356,168","Benin"
"UNICEF","2017","18301382","18,301,382","Brazil"
"FAO","2017","18170485.87","18,170,486","Congo (the Democratic Republic of the)"
"UNDP","2017","17876189","17,876,189","Viet Nam"
"FAO","2017","17836088.14","17,836,088","Afghanistan"
"UNDP","2017","17706576","17,706,576","Burundi"
"FAO","2017","17680906.64","17,680,907","Yemen"
"UN-HABITAT","2017","17668520.73","17,668,521","Iraq"
"UNICEF","2017","17653086","17,653,086","Egypt"
"ILO","2017","17642335","17,642,335","Bangladesh"
"UNFPA","2017","17593914.65","17,593,915","Mozambique"
"IOM","2017","17582888","17,582,888","Sudan"
"IOM","2017","17566812","17,566,812","Argentina"
"WFP","2017","17179421.13","17,179,421","Lesotho"
"UNICEF","2017","17167087","17,167,087","Mauritania"
"WHO","2017","17129267","17,129,267","Chad"
"UNDP","2017","17037179","17,037,179","Arab States"
"UNICEF","2017","17024708","17,024,708","Guinea-Bissau"
"WFP","2017","16775545.68","16,775,546","Colombia"
"UNDP","2017","16653465","16,653,465","Uganda"
"UNHCR","2017","16649110.23","16,649,110","Myanmar"
"UNDP","2017","16615295","16,615,295","Côte d'Ivoire"
"UNDP","2017","16560819","16,560,819","Macedonia (the former Yugoslav Republic of)"
"UNHCR","2017","16495475.306000002","16,495,475","Thailand"
"UNHCR","2017","16379910.58","16,379,911","Algeria"
"WFP","2017","16238738.68","16,238,739","Algeria"
"WFP","2017","16033820.39","16,033,820","Burkina Faso"
"ICAO","2017","15988671.69","15,988,672","Panama"
"WHO","2017","15979191","15,979,191","Guinea"
"UNHCR","2017","15873431.95","15,873,432","Colombia"
"UNDP","2017","15816507","15,816,507","Sri Lanka"
"UNICEF","2017","15670659","15,670,659","Senegal"
"UNFPA","2017","15519126.85","15,519,127","Jordan"
"UNHCR","2017","15513263.23","15,513,263","Burkina Faso"
"UNFPA","2017","15512624.61","15,512,625","Zimbabwe"
"WHO","2017","15389439","15,389,439","Angola"
"UNDP","2017","15365568","15,365,568","Lao People's Democratic Republic"
"IOM","2017","15346960","15,346,960","Italy"
"WHO","2017","15314555","15,314,555","Liberia"
"IOM","2017","15281396","15,281,396","Tanzania, United Republic of"
"UNHCR","2017","14968038.56","14,968,039","Belgium"
"UNDP","2017","14944776","14,944,776","Uzbekistan"
"WFP","2017","14912426.91","14,912,427","Thailand"
"WFP","2017","14907561.86","14,907,562","Panama"
"UNDP","2017","14905616","14,905,616","Kuwait"
"FAO","2017","14812663.27","14,812,663","Colombia"
"WHO","2017","14707645","14,707,645","Central African Republic"
"UNFPA","2017","14704001.61","14,704,002","Sudan"
"UNFPA","2017","14688625.15","14,688,625","Bangladesh"
"UNDP","2017","14663032","14,663,032","Tunisia"
"UNICEF","2017","14647016","14,647,016","Papua New Guinea"
"UNFPA","2017","14582574.87","14,582,575","Afghanistan"
"IOM","2017","14485315","14,485,315","Peru"
"UNDP","2017","14471461","14,471,461","Burkina Faso"
"UNFPA","2017","14453255.37","14,453,255","Ethiopia"
"UNFPA","2017","14386156.54","14,386,157","Myanmar"
"UNDP","2017","14328734","14,328,734","Serbia"
"UNDP","2017","14284070","14,284,070","Belarus"
"UNICEF","2017","14253987","14,253,987","Togo"
"UNDP","2017","14171552","14,171,552","Bolivia (Plurinational State of)"
"UNHCR","2017","14035279.06","14,035,279","Mauritania"
"ILO","2017","14029102","14,029,102","Jordan"
"FAO","2017","14002406.37","14,002,406","Bangladesh"
"UN","2017","13934778.88","13,934,779","Burundi"
"UNFPA","2017","13893072.84","13,893,073","Uganda"
"IOM","2017","13854670","13,854,670","Nepal"
"IOM","2017","13800909","13,800,909","Netherlands"
"UNHCR","2017","13776007","13,776,007","United States of America"
"FAO","2017","13740312.19","13,740,312","Central African Republic"
"WFP","2017","13724389.26","13,724,389","Liberia"
"WFP","2017","13680437.37","13,680,437","Côte d'Ivoire"
"UNDP","2017","13667441","13,667,441","Morocco"
"UN","2017","13658105.45","13,658,105","Cameroon"
"UNDP","2017","13554283","13,554,283","Djibouti"
"UNFPA","2017","13541275.58","13,541,276","Guatemala"
"UN","2017","13496742.82","13,496,743","Niger"
"UNOPS","2017","13449506","13,449,506","Kenya"
"IOM","2017","13446356","13,446,356","Myanmar"
"UNICEF","2017","13256755","13,256,755","Eritrea"
"UNDP","2017","13184196","13,184,196","Timor-Leste"
"FAO","2017","13093271.139999999","13,093,271","Samoa"
"WFP","2017","13084972.32","13,084,972","Guatemala"
"UNDP","2017","13064692","13,064,692","Benin"
"UNHCR","2017","13060643.33","13,060,643","Mali"
"UNFPA","2017","13051396.4","13,051,396","Niger"
"UNICEF","2017","12981344","12,981,344","Viet Nam"
"UNHCR","2017","12974893.41","12,974,893","Angola"
"UNDP","2017","12973737","12,973,737","Madagascar"
"UNHCR","2017","12893831.04","12,893,831","Hungary"
"WHO","2017","12880730","12,880,730","Cameroon"
"FAO","2017","12875220.89","12,875,221","Arab States"
"UNDP","2017","12778019","12,778,019","Ecuador"
"UNFPA","2017","12628750.61","12,628,751","Somalia"
"UNHCR","2017","12613153.01","12,613,153","Panama"
"FAO","2017","12594719.24","12,594,719","China"
"UN","2017","12540627.969999999","12,540,628","Democratic People's Republic of Korea"
"UN","2017","12503368.14","12,503,368","Jordan"
"WFP","2017","12421518.4","12,421,518","Cambodia"
"WHO","2017","12399727","12,399,727","Indonesia"
"UNHCR","2017","12368277.14","12,368,277","Djibouti"
"IOM","2017","12350615","12,350,615","Congo (the Democratic Republic of the)"
"UNFPA","2017","12336868.46","12,336,868","Tanzania, United Republic of"
"IOM","2017","12314254","12,314,254","Central African Republic"
"UN","2017","12253666.469999999","12,253,666","Angola"
"UNOPS","2017","12209494","12,209,494","Haiti"
"WFP","2017","12183028.49","12,183,028","Philippines"
"UNDP","2017","12129496","12,129,496","Rwanda"
"UNOPS","2017","12113005","12,113,005","Sierra Leone"
"UNICEF","2017","12074770","12,074,770","Ecuador"
"WHO","2017","12050313","12,050,313","Niger"
"UNDP","2017","12050135","12,050,135","Azerbaijan"
"UNICEF","2017","11995548","11,995,548","Lesotho"
"WHO","2017","11978863","11,978,863","Kenya"
"FAO","2017","11813555.77","11,813,556","Kenya"
"UNHCR","2017","11746647.78","11,746,648","Ecuador"
"WFP","2017","11738863.13","11,738,863","Lao People's Democratic Republic"
"UNOPS","2017","11735351","11,735,351","Guatemala"
"UN","2017","11704556.41","11,704,556","Madagascar"
"IOM","2017","11686148","11,686,148","Syrian Arab Republic"
"UNICEF","2017","11618358","11,618,358","Lao People's Democratic Republic"
"UNFPA","2017","11594772.91","11,594,773","Yemen"
"UNICEF","2017","11535804","11,535,804","Sri Lanka"
"UNDP","2017","11519794","11,519,794","Samoa"
"UNDP","2017","11489597","11,489,597","Mozambique"
"IOM","2017","11282602","11,282,602","Egypt"
"UNDP","2017","11251812","11,251,812","Albania"
"WHO","2017","11190642","11,190,642","Uganda"
"WFP","2017","11139033.36","11,139,033","Sierra Leone"
"UN-HABITAT","2017","11130049.02","11,130,049","Myanmar"
"WFP","2017","11118435.31","11,118,435","Kyrgyzstan"
"UNICEF","2017","11080977","11,080,977","Thailand"
"WFP","2017","11050122.96","11,050,123","Sri Lanka"
"UNIDO","2017","10956869.36","10,956,869","Arab States"
"UNICEF","2017","10943035","10,943,035","Libya"
"UNHCR","2017","10848727.03","10,848,727","Zambia"
"UNHCR","2017","10570091.98","10,570,092","Côte d'Ivoire"
"WFP","2017","10541143.04","10,541,143","Swaziland"
"FAO","2017","10518309.89","10,518,310","Haiti"
"UNHCR","2017","10504514.34","10,504,514","Liberia"
"WHO","2017","10498979","10,498,979","Mali"
"UNIDO","2017","10481631.92","10,481,632","Côte d'Ivoire"
"UNDP","2017","10480032","10,480,032","Eritrea"
"UNDP","2017","10456787","10,456,787","Ghana"
"UNICEF","2017","10427755","10,427,755","Colombia"
"FAO","2017","10410212.91","10,410,213","Lithuania"
"UNICEF","2017","10398506","10,398,506","Mexico"
"WHO","2017","10167562","10,167,562","Democratic People's Republic of Korea"
"UNDP","2017","10078754","10,078,754","Iran (Islamic Republic of)"
"UNHCR","2017","10074151.03","10,074,151","Congo"
"UNFPA","2017","10070753.37","10,070,753","Kenya"
"UNDP","2017","9961994","9,961,994","Comoros"
"UNDP","2017","9829090","9,829,090","Turkmenistan"
"UNHCR","2017","9802042.453","9,802,042","Georgia"
"ILO","2017","9761268","9,761,268","Arab States"
"UNDP","2017","9739470","9,739,470","Cameroon"
"WFP","2017","9732394.61","9,732,395","Nicaragua"
"ICAO","2017","9719141.008","9,719,141","Peru"
"UNHCR","2017","9682943.73","9,682,944","Mexico"
"UNDP","2017","9674732","9,674,732","Costa Rica"
"UNDP","2017","9664519","9,664,519","Malaysia"
"UNICEF","2017","9496483","9,496,483","Timor-Leste"
"FAO","2017","9469896.47","9,469,896","Sudan"
"IOM","2017","9458153","9,458,153","Uganda"
"WFP","2017","9454455.83","9,454,456","Congo"
"UNFPA","2017","9431519.28","9,431,519","Zambia"
"WHO","2017","9359948","9,359,948","Viet Nam"
"WFP","2017","9275382.87","9,275,383","Djibouti"
"ICAO","2017","9260086.405","9,260,086","Somalia"
"UNWOMEN","2017","9257682.29","9,257,682","Afghanistan"
"UNIDO","2017","9184545.227","9,184,545","India"
"IOM","2017","9150202","9,150,202","Senegal"
"UNDP","2017","9063811","9,063,811","Gambia"
"UN","2017","9041800.05","9,041,800","Libya"
"UNOPS","2017","9041164","9,041,164","Nepal"
"UNICEF","2017","8966669","8,966,669","Tajikistan"
"UNDP","2017","8951199","8,951,199","Bhutan"
"WHO","2017","8834646","8,834,646","Cambodia"
"FAO","2017","8821108","8,821,108","Uganda"
"WHO","2017","8760843","8,760,843","Madagascar"
"UN","2017","8742328.59","8,742,329","Gabon"
"UNDP","2017","8726813","8,726,813","Namibia"
"UNICEF","2017","8715940","8,715,940","Bolivia (Plurinational State of)"
"UNICEF","2017","8701631","8,701,631","Peru"
"WHO","2017","8685251","8,685,251","Papua New Guinea"
"UNICEF","2017","8655229","8,655,229","Guatemala"
"UNDP","2017","8597324","8,597,324","Kosovo"
"IOM","2017","8484836","8,484,836","Austria"
"WFP","2017","8429338.49","8,429,338","Zambia"
"WHO","2017","8411895","8,411,895","Lao People's Democratic Republic"
"WFP","2017","8370548.07","8,370,548","Cuba"
"FAO","2017","8365123.89","8,365,124","Viet Nam"
"UNOPS","2017","8325954","8,325,954","Congo (the Democratic Republic of the)"
"UNICEF","2017","8321878","8,321,878","Barbados"
"WFP","2017","8300849.85","8,300,850","Ukraine"
"UNOPS","2017","8272746","8,272,746","Serbia"
"UNIDO","2017","8249479.809","8,249,480","Nigeria"
"UN","2017","8234852.89","8,234,853","Sri Lanka"
"UNDP","2017","8219137","8,219,137","Cabo Verde"
"UNU","2017","8191356","8,191,356","Finland"
"FAO","2017","8174916.26","8,174,916","Mexico"
"WFP","2017","8171837.78","8,171,838","Tajikistan"
"ILO","2017","8167232","8,167,232","Colombia"
"WHO","2017","8146942","8,146,942","Nepal"
"UN","2017","8144266.220000001","8,144,266","Cuba"
"WHO","2017","8093224","8,093,224","China"
"UNHCR","2017","8058924.845","8,058,925","Malaysia"
"UNDP","2017","7965478","7,965,478","Sao Tome and Principe"
"UNFPA","2017","7933149.85","7,933,150","Liberia"
"UNOPS","2017","7892481","7,892,481","Occupied Palestinian Territory"
"UNFPA","2017","7851942.85","7,851,943","Côte d'Ivoire"
"WFP","2017","7830839.28","7,830,839","Ghana"
"UNFPA","2017","7797728.01","7,797,728","Burkina Faso"
"UNICEF","2017","7769644","7,769,644","Congo"
"WFP","2017","7768959.89","7,768,960","Guinea"
"UNU","2017","7767441","7,767,441","Germany"
"UNIDO","2017","7753010.787","7,753,011","Russian Federation"
"IOM","2017","7729533","7,729,533","El Salvador"
