"Year","country","Expenditure"
"2018","Bulgaria","9,116,569"
"2018","Micronesia (Federated States of)","8,859,492"
"2018","United Arab Emirates (the)","8,393,797"
"2018","Australia","8,384,484"
"2018","Vanuatu","7,975,088"
"2018","Western Sahara","7,636,497"
"2018","Denmark","7,097,225"
"2018","Croatia","7,033,753"
"2018","Southern Africa","7,003,006"
"2018","Korea (the Republic of)","6,488,651"
"2018","Suriname","6,486,078"
"2018","United Kingdom of Great Britain and Northern Ireland (the)","6,387,458"
"2018","Norway","6,293,709"
"2018","Oman","5,787,151"
"2018","France","5,781,520"
"2018","Macao","5,583,035"
"2018","Canada","5,356,752"
"2018","Bahrain","5,098,119"
"2018","Seychelles","5,081,744"
"2018","Dominica","4,809,043"
"2018","Sweden","4,104,433"
"2018","South America","3,762,171"
"2018","Antigua and Barbuda","3,415,494"
"2018","Sint Maarten (Dutch part)","3,278,231"
"2018","Tuvalu","3,105,132"
"2018","Portugal","2,753,372"
"2018","Grenada","2,669,327"
"2018","Qatar","2,564,560"
"2018","Saint Lucia","2,355,176"
"2018","Kiribati","2,245,446"
"2018","Slovakia","1,880,605"
"2018","Ireland","1,857,746"
"2018","Poland","1,800,471"
"2018","Cook Islands (the)","1,779,224"
"2018","Saint Vincent and the Grenadines","1,668,810"
"2018","Palau","1,573,026"
"2018","Tonga","1,286,393"
"2018","Malta","1,282,010"
"2018","Saint Kitts and Nevis","1,269,464"
"2018","Marshall Islands (the)","1,244,168"
"2018","Nauru","1,211,197"
"2018","Lithuania","1,159,581"
"2018","Aruba","1,144,465"
"2018","Niue","1,087,309"
"2018","Curaçao","1,078,550"
"2018","Czechia","1,064,619"
"2018","Bahamas (the)","1,049,598"
"2018","Central America","796,005"
"2018","Virgin Islands (British)","793,827"
"2018","Slovenia","757,151"
"2018","Hong Kong","656,523"
"2018","Anguilla","556,364"
"2018","Singapore","512,978"
"2018","Estonia","493,655"
"2018","Puerto Rico","385,162"
"2018","Latvia","371,222"
"2018","Brunei Darussalam","321,933"
"2018","Eastern Asia","319,610"
"2018","New Caledonia","242,532"
"2018","Middle Africa","183,102"
"2018","Northern America","157,409"
"2018","Cayman Islands (the)","114,036"
"2018","Tokelau","106,459"
"2018","Montserrat","95,728"
"2018","Saint Martin (French part)","77,016"
"2018","Bermuda","65,881"
"2018","Gibraltar","50,000"
"2018","New Zealand","42,146"
"2018","Turks and Caicos Islands (the)","41,012"
"2018","Saint Pierre and Miquelon","38,559"
"2018","Bonaire, Sint Eustatius and Saba","37,074"
"2018","Iceland","34,632"
"2018","Polynesia","24,266"
"2018","French Polynesia","22,294"
"2018","Monaco","17,053"
"2018","American Samoa","15,702"
"2018","Andorra","4,909"
"2018","Guam","2,100"
"2018","Northern Mariana Islands (the)","400"
"2018","Western Europe","-15"
"2018","Micronesia","-1,319"
